 ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action,ray1
8.440992,4.261002,6.03732,3.237931,-42.25728,0.2791672,-26.98119,15.60199,,LEFT_ACCELERATE,
8.267075,4.272094,6.222579,2.994925,-41.75191,0.279163,-28.37862,15.70176,,ACCELERATE,
8.064984,4.463147,6.318477,2.882741,-41.24298,0.2791599,-29.77755,15.80172,,LEFT_ACCELERATE,
8.126859,4.344869,6.403076,2.796759,-40.62545,0.2791708,-31.1517,15.90303,,LEFT_ACCELERATE,
8.51646,3.834981,6.571732,2.638884,-39.83423,0.2791965,-32.416,16.00347,,LEFT_ACCELERATE,
9.262786,3.108142,6.897738,2.37819,-38.86131,0.2792143,-33.48895,16.10114,,LEFT_ACCELERATE,
10.13479,2.384716,7.376894,1.969204,-37.6572,0.2792042,-34.41313,16.20349,,LEFT_ACCELERATE,
10.71321,1.794623,7.84315,1.50758,-36.36809,0.2791871,-35.16241,16.3038,,LEFT_ACCELERATE,
10.83547,1.340378,8.200115,1.074007,-35.06905,0.2791729,-35.82865,16.40185,,LEFT_ACCELERATE,
10.51204,1.133684,8.387801,0.8238785,-33.77175,0.2791655,-36.51307,16.50035,,RIGHT_ACCELERATE,
9.829144,1.309312,8.420725,0.8081825,-32.44396,0.2791677,-37.29478,16.60389,,RIGHT_ACCELERATE,
9.117014,2.098498,8.295612,1.05775,-31.24038,0.2791629,-38.11115,16.70156,,ACCELERATE,
8.52137,3.486093,8.022551,1.459146,-30.02718,0.2791601,-38.93422,16.79999,,LEFT_ACCELERATE,
8.106593,4.803364,7.635116,1.883026,-28.71365,0.2791696,-39.69743,16.90214,,LEFT_ACCELERATE,
7.946975,4.828614,7.247446,2.175475,-27.34189,0.2791922,-40.26753,17.00216,,LEFT_ACCELERATE,
8.039509,4.474561,6.988989,2.348712,-25.88872,0.2791904,-40.62666,17.10295,,LEFT_ACCELERATE,
8.142841,4.374487,6.834228,2.483203,-24.43753,0.2791772,-40.84071,17.20153,,LEFT_ACCELERATE,
7.995883,4.613174,6.67588,2.668849,-22.93838,0.2791669,-41.03403,17.30303,,ACCELERATE,
7.72708,5.001286,6.459495,2.892032,-21.44466,0.2791619,-41.25415,17.4044,,ACCELERATE,
7.450711,5.400941,6.230231,3.121859,-20.03133,0.2791615,-41.48005,17.50049,,ACCELERATE,
7.148353,5.838634,5.978521,3.373943,-18.55284,0.2791613,-41.72812,17.60114,,ACCELERATE,
6.837582,6.288735,5.719242,3.633448,-17.07616,0.2791592,-41.98363,17.70175,,ACCELERATE,
6.546497,6.694146,5.451127,3.892885,-15.5933,0.2791603,-42.24155,17.8028,,LEFT_ACCELERATE,
6.570674,6.532378,5.214078,4.054481,-14.14963,0.2791631,-42.42806,17.90062,,LEFT_ACCELERATE,
6.972004,6.010534,5.129657,4.077926,-12.65442,0.2791707,-42.47284,18.00119,,LEFT_ACCELERATE,
7.189956,5.802836,5.154539,4.046347,-11.17132,0.2791645,-42.44474,18.1008,,ACCELERATE,
7.215456,5.776613,5.172837,4.028051,-9.632695,0.2791619,-42.42752,18.20411,,ACCELERATE,
7.354007,5.635744,5.191697,4.008464,-8.157871,0.2791604,-42.40572,18.30314,,LEFT_ACCELERATE,
7.788318,5.209485,5.307927,3.912051,-6.718204,0.2791634,-42.29668,18.40016,,LEFT_ACCELERATE,
7.869678,5.014392,5.486047,3.746128,-5.200919,0.2791619,-42.12702,18.50267,,LEFT_ACCELERATE,
7.961395,4.846635,5.670126,3.574099,-3.734488,0.2791623,-41.94014,18.60194,,LEFT_ACCELERATE,
8.182436,4.541193,5.902303,3.34777,-2.27028,0.2791637,-41.65312,18.70218,,LEFT_ACCELERATE,
8.014636,4.619844,6.043704,3.164904,-0.8388081,0.2791629,-41.34489,18.80049,,ACCELERATE,
7.758225,4.948087,6.098761,3.098833,0.6255336,0.2791602,-41.0348,18.90099,,LEFT_ACCELERATE,
7.733693,4.980422,6.140231,3.061288,2.075826,0.279168,-40.63918,19.00204,,LEFT_ACCELERATE,
8.031582,4.514083,6.246658,2.959098,3.467849,0.2791907,-40.0626,19.10347,,LEFT_ACCELERATE,
8.700274,3.746914,6.505127,2.743762,4.690527,0.2792131,-39.29168,19.20092,,LEFT_ACCELERATE,
9.702825,2.907424,6.966369,2.3883,5.788351,0.2792188,-38.25789,19.30271,,LEFT_ACCELERATE,
10.87902,2.0934,7.601238,1.8793,6.658784,0.2792121,-37.05371,19.40311,,LEFT_ACCELERATE,
11.86945,1.3338,8.287168,1.242871,7.341836,0.2791945,-35.72436,19.50392,,LEFT_ACCELERATE,
11.93438,0.7288375,8.736464,0.6450094,7.972223,0.2791732,-34.38126,19.60384,,RIGHT_ACCELERATE,
10.23217,0.8819206,8.624911,0.5809865,8.868648,0.2792477,-33.26377,19.70206,,RIGHT_ACCELERATE,
